model,split,roc_auc,pr_auc,accuracy,precision,recall,f1,confusion_matrix
dummy_mayoritaria,train,0.5,0.006575471590541964,0.993424528409458,0.0,0.0,0.0,"[[261369, 0], [1730, 0]]"
dummy_mayoritaria,cv_mean,0.5,0.006575471561838908,,0.0,0.0,0.0,
dummy_mayoritaria,test_temporal,0.5,0.005154639175257732,0.9948453608247423,0.0,0.0,0.0,"[[48636, 0], [252, 0]]"
logistic_regression,train,0.7476772667668019,0.02238050356750264,0.7039441426991361,0.01429773991122902,0.6479768786127168,0.027978136621159555,"[[184086, 77283], [609, 1121]]"
logistic_regression,cv_mean,0.6858036077172894,0.018092229666071255,,0.012400968585480785,0.5554963813466847,0.024260341147407022,
logistic_regression,test_temporal,0.6983020611814097,0.02372170436003493,0.7962690230731467,0.012944009632751354,0.5119047619047619,0.02524955960070464,"[[38799, 9837], [123, 129]]"
xgboost,train,0.7452677428542823,0.027725252771443474,0.7225683107879544,0.0148680663344498,0.63121387283237,0.029051825050548045,"[[189015, 72354], [638, 1092]]"
xgboost,cv_mean,0.6994945946814646,0.01991491050424035,,0.013606585757016754,0.5502940657295077,0.02655551435919278,
xgboost,test_temporal,0.707860391805926,0.02324047192063846,0.8514154802814596,0.014673311184939091,0.42063492063492064,0.028357410379882292,"[[41518, 7118], [146, 106]]"
