model,gap_train_cv_roc_auc,gap_train_test_roc_auc,gap_cv_test_roc_auc,gap_train_cv_pr_auc,gap_train_test_pr_auc,gap_cv_test_pr_auc,diagnostico
dummy_mayoritaria,0.0,0.0,0.0,2.8703000046204075e-11,0.0014208324152842006,0.0014208323865812006,underfitting
logistic_regression,0.01317453297920057,-0.006806698350526941,-0.01998123132972751,0.000542946901050903,-0.0036595090406485974,-0.0042024559416995,ok
xgboost,0.030193272879592947,0.017076275628807536,-0.013116997250785412,0.0052338422117158,0.0021921415390446994,-0.0030417006726711007,ok
