model,split,roc_auc,pr_auc,accuracy,precision,recall,f1,confusion_matrix
dummy_mayoritaria,train,0.5,0.006575471590541964,0.993424528409458,0.0,0.0,0.0,"[[261369, 0], [1730, 0]]"
dummy_mayoritaria,cv_mean,0.5,0.006575471561838908,,0.0,0.0,0.0,
dummy_mayoritaria,test_temporal,0.5,0.005154639175257732,0.9948453608247423,0.0,0.0,0.0,"[[48636, 0], [252, 0]]"
logistic_regression,train,0.7042786097576882,0.021763189995167714,0.7150388256891892,0.01330320951558243,0.5786127167630057,0.026008444300097435,"[[187125, 74244], [729, 1001]]"
logistic_regression,cv_mean,0.69103036956815,0.021058716635800872,,0.013061364873777919,0.5711083429616792,0.025538610660157234,
logistic_regression,test_temporal,0.7132138549144471,0.026671176073219255,0.8019350351824579,0.013615265600825167,0.5238095238095238,0.02654066552729466,"[[39073, 9563], [120, 132]]"
