iteration,suffix,best_model,n_features,pr_auc_test,roc_auc_test,recall_test,precision_test,f1_test,feature_reduction_vs_3c,overfitting_diagnostic
3C Top75,it_3c_top75,logistic_regression,75,0.0263779454638276,0.708484521231252,0.5079365079365079,0.0128720836685438,0.0251078854452726,0,
3D Top50,it_3d_top50,logistic_regression,50,0.0266046776602077,0.7130196686235423,0.5317460317460317,0.0131064162754303,0.025582283314242,25,
3E Top30,it_3e_top30,logistic_regression,30,0.0240712197246152,0.7119902365091115,0.496031746031746,0.0141739426238802,0.027560357182229,45,
3F Family pruning,it_3f_family_pruning,logistic_regression,37,0.0266522913280483,0.7131942731035995,0.5238095238095238,0.0136321387999586,0.0265727226975339,38,ok
