model,split,roc_auc,pr_auc,accuracy,precision,recall,f1,confusion_matrix
dummy_mayoritaria,train,0.5,0.006575471590541964,0.993424528409458,0.0,0.0,0.0,"[[261369, 0], [1730, 0]]"
dummy_mayoritaria,cv_mean,0.5,0.006575471561838908,,0.0,0.0,0.0,
dummy_mayoritaria,test_temporal,0.5,0.005154639175257732,0.9948453608247423,0.0,0.0,0.0,"[[48636, 0], [252, 0]]"
logistic_regression,train,0.7042805935320067,0.021766641137556504,0.7150502282410803,0.01332961220529995,0.5797687861271676,0.026060070671378093,"[[187126, 74243], [727, 1003]]"
logistic_regression,cv_mean,0.6910447729095713,0.021057405462323594,,0.01307387539088214,0.5716860437126902,0.025563103125822884,
logistic_regression,test_temporal,0.7131942731035995,0.026652291328048344,0.8021804941908035,0.01363213879995869,0.5238095238095238,0.026572722697533968,"[[39085, 9551], [120, 132]]"
xgboost,train,0.7191793368916981,0.02441954603626687,0.7256127921428815,0.014055366280914219,0.5890173410404624,0.027455576661412653,"[[189889, 71480], [711, 1019]]"
xgboost,cv_mean,0.6848709113351686,0.018682733546170113,,0.013199144420127207,0.5300635069645036,0.025756533850849278,
xgboost,test_temporal,0.6972155154520069,0.022150879175465252,0.8564882997872688,0.015055921995985088,0.4166666666666667,0.029061721561029614,"[[41767, 6869], [147, 105]]"
