model,split,roc_auc,pr_auc,accuracy,precision,recall,f1,confusion_matrix
dummy_mayoritaria,train,0.5,0.006575471590541964,0.993424528409458,0.0,0.0,0.0,"[[261369, 0], [1730, 0]]"
dummy_mayoritaria,cv_mean,0.5,0.006575471561838908,,0.0,0.0,0.0,
dummy_mayoritaria,test_temporal,0.5,0.005154639175257732,0.9948453608247423,0.0,0.0,0.0,"[[48636, 0], [252, 0]]"
logistic_regression,train,0.7078502616182551,0.02066427359498364,0.7105766270491336,0.013328101497612975,0.5890173410404624,0.026066381019377118,"[[185933, 75436], [711, 1019]]"
logistic_regression,cv_mean,0.6911304095261408,0.0195893898618624,,0.012916090987376366,0.5728394393093267,0.025262537344064407,
logistic_regression,test_temporal,0.7130196686235423,0.026604677660207778,0.7911962035673376,0.01310641627543036,0.5317460317460317,0.025582283314242074,"[[38546, 10090], [118, 134]]"
xgboost,train,0.7195616822998918,0.024860719474855006,0.7233246800633982,0.013992805263373867,0.5913294797687861,0.027338687048196798,"[[189283, 72086], [707, 1023]]"
xgboost,cv_mean,0.6853607523631421,0.01863890124761351,,0.013255593888199227,0.5335327203286475,0.025867924909191403,
xgboost,test_temporal,0.6931216523262539,0.02159201681560132,0.8704794632629684,0.016077682266794013,0.4007936507936508,0.03091521273339455,"[[42455, 6181], [151, 101]]"
