model,split,roc_auc,pr_auc,accuracy,precision,recall,f1,confusion_matrix
dummy_mayoritaria,train,0.5,0.006575471590541964,0.993424528409458,0.0,0.0,0.0,"[[261369, 0], [1730, 0]]"
dummy_mayoritaria,cv_mean,0.5,0.006575471561838908,,0.0,0.0,0.0,
dummy_mayoritaria,test_temporal,0.5,0.005154639175257732,0.9948453608247423,0.0,0.0,0.0,"[[48636, 0], [252, 0]]"
logistic_regression,train,0.7106187967106147,0.020439839714274738,0.709976092649535,0.013300614778170806,0.5890173410404624,0.026013811061613674,"[[185775, 75594], [711, 1019]]"
logistic_regression,cv_mean,0.6879072769016,0.018752868957219084,,0.012804664091527673,0.5670624317992169,0.02504376369993723,
logistic_regression,test_temporal,0.708484521231252,0.026377945463827657,0.7966781214203894,0.012872083668543845,0.5079365079365079,0.025107885445272655,"[[38820, 9816], [124, 128]]"
xgboost,train,0.7241794013588346,0.02535881403983901,0.7311088221543982,0.014464408830606014,0.5942196531791908,0.028241370310847374,"[[191326, 70043], [702, 1028]]"
xgboost,cv_mean,0.6846162104380275,0.01775152480224525,,0.013576100257420601,0.5370049425508697,0.02648159668976197,
xgboost,test_temporal,0.6947267896796023,0.022243081904730705,0.8727499590901653,0.01589618815896188,0.3888888888888889,0.030543867851020725,"[[42569, 6067], [154, 98]]"
