policy,top_fraction,contacted,captured_churners,false_positives,precision_at_k,capture_rate,baseline_churn_rate,lift,min_score,max_score
top_1pct,0.01,489,22,467,0.044989775051124746,0.0873015873015873,0.005154639175257732,8.7280163599182,0.8101464505779729,0.9497089391730988
top_2pct,0.02,978,39,939,0.03987730061349693,0.15476190476190477,0.005154639175257732,7.736196319018405,0.7699549308950968,0.9497089391730988
top_5pct,0.05,2444,68,2376,0.027823240589198037,0.2698412698412698,0.005154639175257732,5.397708674304419,0.6831200825570829,0.9497089391730988
top_10pct,0.1,4889,95,4794,0.019431376559623646,0.376984126984127,0.005154639175257732,3.7696870525669874,0.6005083186125227,0.9497089391730988
top_15pct,0.15,7333,116,7217,0.015818900859129962,0.4603174603174603,0.005154639175257732,3.0688667666712126,0.5452721916962215,0.9497089391730988
top_20pct,0.2,9778,128,9650,0.013090611577009614,0.5079365079365079,0.005154639175257732,2.5395786459398653,0.5028256825399029,0.9497089391730988
top_30pct,0.3,14666,154,14512,0.010500477294422474,0.6111111111111112,0.005154639175257732,2.0370925951179597,0.4262735268930372,0.9497089391730988
