model,gap_train_cv_roc_auc,gap_train_test_roc_auc,gap_cv_test_roc_auc,gap_train_cv_pr_auc,gap_train_test_pr_auc,gap_cv_test_pr_auc,diagnostico
dummy_mayoritaria,0.0,0.0,0.0,2.8703000046204075e-11,0.0014208324152842006,0.0014208323865812006,underfitting
logistic_regression,0.013235820622435335,-0.008913679571592836,-0.02214950019402817,0.0007092356752330005,-0.004885650190491798,-0.005594885865724798,ok
xgboost,0.034308425556529465,0.021963821439691222,-0.012344604116838243,0.0057368124900967,0.002268666860801599,-0.003468145629295101,ok
