model,split,roc_auc,pr_auc,accuracy,precision,recall,f1,confusion_matrix
dummy_mayoritaria,train,0.5,0.006575471590541964,0.993424528409458,0.0,0.0,0.0,"[[261369, 0], [1730, 0]]"
dummy_mayoritaria,cv_mean,0.5,0.006575471561838908,,0.0,0.0,0.0,
dummy_mayoritaria,test_temporal,0.5,0.005154639175257732,0.9948453608247423,0.0,0.0,0.0,"[[48636, 0], [252, 0]]"
logistic_regression,train,0.7117029238467079,0.020408170027198684,0.7091209012577014,0.013236327667438895,0.5878612716763005,0.025889720482663817,"[[185552, 75817], [713, 1017]]"
logistic_regression,cv_mean,0.6885809762717653,0.018687179042383536,,0.01281896165339561,0.5693782495667244,0.025073383846854466,
logistic_regression,test_temporal,0.7065654221773147,0.025917683243008187,0.7904598265423007,0.012775502243027112,0.5198412698412699,0.024938130592042643,"[[38513, 10123], [121, 131]]"
xgboost,train,0.7251668985603748,0.02481148428386684,0.7376918954462008,0.014713731373425847,0.5895953757225434,0.028710962239455053,"[[193066, 68303], [710, 1020]]"
xgboost,cv_mean,0.6847022412226145,0.01813871606542168,,0.013552979052008486,0.5381653588163554,0.026438817651675234,
xgboost,test_temporal,0.6916987482001052,0.022476420926895228,0.8667157584683358,0.01562016702752861,0.4007936507936508,0.03006847275974992,"[[42271, 6365], [151, 101]]"
