model,split,roc_auc,pr_auc,accuracy,precision,recall,f1,confusion_matrix
dummy_mayoritaria,train,0.5,0.006575471590541964,0.993424528409458,0.0,0.0,0.0,"[[261369, 0], [1730, 0]]"
dummy_mayoritaria,cv_mean,0.5,0.006575471561838908,,0.0,0.0,0.0,
dummy_mayoritaria,test_temporal,0.5,0.005154639175257732,0.9948453608247423,0.0,0.0,0.0,"[[48636, 0], [252, 0]]"
logistic_regression,train,0.7211279705389387,0.02002782712812067,0.7118575137115687,0.01385972280554389,0.6104046242774567,0.027104027104027106,"[[186233, 75136], [674, 1056]]"
logistic_regression,cv_mean,0.6748204394717813,0.01758150812818345,,0.012750006082671857,0.5606966910584762,0.024932974982254007,
logistic_regression,test_temporal,0.6991595813147751,0.02377386058035974,0.7856324660448372,0.012581014105985514,0.5238095238095238,0.024571854058078928,"[[38276, 10360], [120, 132]]"
xgboost,train,0.7289592956269807,0.0265525081163906,0.7341609052105861,0.014712578258394992,0.5976878612716763,0.028718233578669625,"[[192123, 69246], [696, 1034]]"
xgboost,cv_mean,0.6851147995957575,0.018013929876232918,,0.013705409655256956,0.5329590313884075,0.02672266426939124,
xgboost,test_temporal,0.6880028037889498,0.021867032441204685,0.8700499099983636,0.01602411550055529,0.4007936507936508,0.030816170861937452,"[[42434, 6202], [151, 101]]"
