model,split,roc_auc,pr_auc,accuracy,precision,recall,f1,confusion_matrix
dummy_mayoritaria,train,0.5,0.006575471590541964,0.993424528409458,0.0,0.0,0.0,"[[261369, 0], [1730, 0]]"
dummy_mayoritaria,cv_mean,0.5,0.006575471561838908,,0.0,0.0,0.0,
dummy_mayoritaria,test_temporal,0.5,0.005154639175257732,0.9948453608247423,0.0,0.0,0.0,"[[48636, 0], [252, 0]]"
logistic_regression,train,0.7106187967106147,0.020439839714274738,0.709976092649535,0.013300614778170806,0.5890173410404624,0.026013811061613674,"[[185775, 75594], [711, 1019]]"
logistic_regression,cv_mean,0.6879072769016,0.018752868957219084,,0.012804664091527673,0.5670624317992169,0.02504376369993723,
logistic_regression,test_temporal,0.708484521231252,0.026377945463827657,0.7966781214203894,0.012872083668543845,0.5079365079365079,0.025107885445272655,"[[38820, 9816], [124, 128]]"
xgboost,train,0.7104098137160721,0.02261057911250678,0.7262133265424802,0.013669253863501155,0.5710982658959538,0.02669945547163183,"[[190078, 71291], [742, 988]]"
xgboost,cv_mean,0.6874546990088001,0.02010833880703781,,0.013047363368967299,0.5462541722832017,0.02548505680981947,
xgboost,test_temporal,0.7074858896734667,0.02286109289677171,0.8373834069710359,0.014750378214826021,0.4642857142857143,0.028592375366568914,"[[40821, 7815], [135, 117]]"
