model,split,roc_auc,pr_auc,accuracy,precision,recall,f1,confusion_matrix
dummy_mayoritaria,train,0.5,0.006575471590541964,0.993424528409458,0.0,0.0,0.0,"[[261369, 0], [1730, 0]]"
dummy_mayoritaria,cv_mean,0.5,0.006575471561838908,,0.0,0.0,0.0,
dummy_mayoritaria,test_temporal,0.5,0.005154639175257732,0.9948453608247423,0.0,0.0,0.0,"[[48636, 0], [252, 0]]"
logistic_regression,train,0.7051835381585846,0.02041171068396669,0.712199590268302,0.013223684210526316,0.5809248554913294,0.025858741798533386,"[[186374, 74995], [725, 1005]]"
logistic_regression,cv_mean,0.692009005179384,0.01986876378291574,,0.012853422143580871,0.5664767074266641,0.025136398147649803,
logistic_regression,test_temporal,0.7119902365091115,0.024071219724615213,0.8195671739486172,0.014173942623880258,0.49603174603174605,0.02756035718222908,"[[39942, 8694], [127, 125]]"
xgboost,train,0.7163831284793317,0.024257832087411776,0.7244231258955754,0.013941541673534421,0.5867052023121387,0.02723589234443341,"[[189580, 71789], [715, 1015]]"
xgboost,cv_mean,0.6861898555997388,0.019023989875695927,,0.013188685308972978,0.5364242329417807,0.025743958542618146,
xgboost,test_temporal,0.6993068528505242,0.022065690548367017,0.8766977581410571,0.01673360107095047,0.3968253968253968,0.03211303789338472,"[[42760, 5876], [152, 100]]"
