model,split,roc_auc,pr_auc,accuracy,precision,recall,f1,confusion_matrix
dummy_mayoritaria,train,0.5,0.006575471590541964,0.993424528409458,0.0,0.0,0.0,"[[261369, 0], [1730, 0]]"
dummy_mayoritaria,cv_mean,0.5,0.006575471561838908,,0.0,0.0,0.0,
dummy_mayoritaria,test_temporal,0.5,0.005154639175257732,0.9948453608247423,0.0,0.0,0.0,"[[48636, 0], [252, 0]]"
logistic_regression,train,0.7251967911864334,0.020156998654203465,0.7109985214691048,0.013882346783901187,0.6132947976878613,0.027150131784334293,"[[186002, 75367], [669, 1061]]"
logistic_regression,cv_mean,0.6719219882467393,0.01698186516332714,,0.012549409818050949,0.5537602702355735,0.024542561289967856,
logistic_regression,test_temporal,0.696294925569537,0.022736721551919352,0.7810914743904435,0.012411347517730497,0.5277777777777778,0.02425237053245806,"[[38053, 10583], [119, 133]]"
xgboost,train,0.7329998414086327,0.026537098912503092,0.7352327450883508,0.014841161010170266,0.6005780346820809,0.02896651704814742,"[[192400, 68969], [691, 1039]]"
xgboost,cv_mean,0.6825274781091478,0.017966640252731193,,0.013563916577838307,0.5237037839399191,0.02644248865452752,
xgboost,test_temporal,0.6866298332804625,0.018743463274130522,0.8797659957453772,0.016666666666666666,0.38492063492063494,0.03194993412384717,"[[42913, 5723], [155, 97]]"
