policy,top_fraction,contacted,captured_churners,false_positives,precision_at_k,capture_rate,baseline_churn_rate,lift,min_score,max_score
top_1pct,0.01,489,24,465,0.049079754601226995,0.09523809523809523,0.005154639175257732,9.521472392638037,0.8019281117405545,0.9404460611879426
top_2pct,0.02,978,43,935,0.04396728016359918,0.17063492063492064,0.005154639175257732,8.52965235173824,0.7653309116089219,0.9404460611879426
top_5pct,0.05,2444,69,2375,0.02823240589198036,0.27380952380952384,0.005154639175257732,5.47708674304419,0.6689191956011472,0.9404460611879426
top_10pct,0.1,4889,93,4796,0.019022294947842095,0.36904761904761907,0.005154639175257732,3.6903252198813665,0.5900998064530161,0.9404460611879426
top_15pct,0.15,7333,119,7214,0.01622801036410746,0.4722222222222222,0.005154639175257732,3.1482340106368474,0.5398929059885511,0.9404460611879426
top_20pct,0.2,9778,132,9646,0.013499693188791163,0.5238095238095238,0.005154639175257732,2.6189404786254857,0.4987060010321517,0.9404460611879426
top_30pct,0.3,14666,153,14513,0.010432292376926224,0.6071428571428571,0.005154639175257732,2.0238647211236875,0.4184962309726449,0.9404460611879426
